
Resfriado:tos,dolor_de_garganta,congestion_nasal
Gripe:fiebre,tos,dolor_de_garganta,fatiga
Diabetes:sed_excesiva,hambre_extrema,vision_borrosa,heridas_que_no_sanan
Hipertension:dolor_de_cabeza,mareos,vision_borrosa,zumbido_en_los_oidos
Asma:dificultad_para_respirar,opresion_en_el_pecho,sibilancias,tos
Neumonia:fiebre_alta,escalofrios,tos_con_flema,dolor_en_el_pecho
Apendicitis:dolor_abdominal,nauseas,vomitos,fiebre
Migraña:dolor_de_cabeza_intenso,sensibilidad_a_la_luz,nauseas,vomitos
Hepatitis:ictericia,fatiga,dolor_abdominal,nauseas
Bronquitis:tos_con_moco,fatiga,dificultad_para_respirar,fiebre_baja
Varicela:erupcion_cutanea,fiebre,cansancio,perdida_de_apetito
COVID-19:fiebre,tos_seca,dificultad_para_respirar,perdida_del_olfato
Eczema:picazon,enrojecimiento,piel_seca,ampollas
Cistitis:dolor_al_orinar,urgencia_urinaria,orina_turbia,dolor_abdominal
Tuberculosis:tos_persistente,sudores_nocturnos,perdida_de_peso,fiebre
Gastritis:dolor_abdominal,nauseas,vomitos,indigestion
Mononucleosis:fiebre,dolor_de_garganta,fatiga_extrema,ganglios_inflamados
Sinusitis:dolor_facial,congestion_nasal,secrecion_nasal,dolor_de_cabeza
Otitis:dolor_de_oido,fiebre,perdida_de_audicion,secrecion_del_oido
Meningitis:fiebre_alta,dolor_de_cabeza,rigidez_en_el_cuello,nauseas
Alergia:estornudos,picazon_en_la_nariz,ojos_lagrimosos,congestion_nasal
Sarampion:erupcion_cutanea,fiebre,tos,conjuntivitis
Anemia:fatiga,debilidad,piel_palida,dificultad_para_respirar
Lupus:fatiga,dolor_en_las_articulaciones,erupcion_cutanea,fiebre
Esclerosis_multiple:fatiga,dificultad_para_caminar,vision_borrosa,debilidad_muscular
Parkinson:temblores,rigidez_muscular,lentitud_de_movimientos,problemas_de_equilibrio
Epilepsia:convulsiones,perdida_de_conciencia,confusion,comportamientos_inusuales
Colesterol_alto:dolor_en_el_pecho,mareos,falta_de_aliento,nauseas
Fibromialgia:dolor_muscular,fatiga,problemas_de_memoria,insomnio
Hipotiroidismo:fatiga,aumento_de_peso,piel_seca,estreñimiento
Hipertiroidismo:perdida_de_peso,ansiedad,temblores,palpitaciones
Enfermedad_de_Crohn:dolor_abdominal,diarrea_cronica,perdida_de_peso,fatiga
Sindrome_del_intestino_irritable:dolor_abdominal,diarrea,estreñimiento,hinchazon
Artritis_reumatoide:dolor_en_las_articulaciones,rigidez,hinchazon,fatiga
Osteoporosis:fracturas_frecuentes,dolor_de_espalda,perdida_de_altura,postura_encorvada
Gota:dolor_articular_agudo,hinchazon,enrojecimiento,calor_en_la_articulacion
Psoriasis:placas_rojas_en_la_piel,picazon,piel_seca,uñas_engrosadas
Esquizofrenia:alucinaciones,delirios,pensamientos_desorganizados,aislamiento_social
Depresion:tristeza_prolongada,falta_de_interes,fatiga,cambios_en_el_apetito
Ansiedad:preocupacion_excesiva,insomnio,tension_muscular,palpitaciones
Trastorno_bipolar:cambios_de_humor_extremos,euforia,depresion,irritabilidad
Obesidad:aumento_de_peso,fatiga,dificultad_para_realizar_actividades_fisicas,apnea_del_sueño
Sindrome_metabolico:presion_arterial_alta,glucosa_alta,niveles_altos_de_trigliceridos,obesidad_abdominal
Lupus:fatiga,dolor_articular,erupcion_cutanea,fiebre
Enfermedad_de_Alzheimer:perdida_de_memoria,desorientacion,cambios_de_humor,dificultad_para_hablar
Enfermedad_celiaca:diarrea,dolor_abdominal,fatiga,perdida_de_peso
Sindrome_de_Tourette:tics_motores,tics_vocales,problemas_de_concentracion,ansiedad
Acne:espinillas,puntos_negros,enrojecimiento,cicatrices
Rosacea:enrojecimiento_facial,vasos_sanguineos_visibles,piel_gruesa,granos
Trastorno_Obsesivo_Compulsivo:obsesiones,compulsiones,ansiedad,pensamientos_repetitivos
Hipocondria:preocupacion_excesiva_por_la_salud,visitas_frecuentes_al_medico,interpretacion_erronea_de_sintomas,ansiedad
